,beta,gamma,size,file_name
7,13.0,0.6,1310622,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,13.0,0.7000000000000001,396716,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,13.0,0.8,890616,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,13.0,0.9,691704,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,13.0,1.0,170944,phase/N_400_Nit_24999_a_0.5_b_13.0_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,14.0,0.05,172610,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,14.0,0.1,189027,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,14.0,0.2,183607,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,14.0,0.30000000000000004,239555,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,14.0,0.4,161010,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,14.0,0.5,179006,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,14.0,0.6,189931,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,14.0,0.7000000000000001,232418,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,14.0,0.8,172187,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,14.0,0.9,167939,phase/N_400_Nit_24999_a_0.5_b_14.0_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,14.0,1.0,171607,phase/N_400_Nit_24999_a_0.5_b_14.0_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,15.1,0.05,629109,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,15.1,0.1,565571,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,15.1,0.2,1056843,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,15.1,0.30000000000000004,1131149,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,15.1,0.4,1209472,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,15.1,0.5,1268595,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,15.1,0.6,1286052,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,15.1,0.7000000000000001,1079207,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,15.1,0.8,391352,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,15.1,0.9,923544,phase/N_400_Nit_24999_a_0.5_b_15.1_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,15.1,1.0,163336,phase/N_400_Nit_24999_a_0.5_b_15.1_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
